LoanID,Age,Gender,Income,EmploymentType,CreditScore,LoanAmount,LoanTerm,InterestRate,ExistingDebts,PropertyOwnership,MaritalStatus,NumDependents,LoanPurpose,PreviousDefaults,MissedPayments,DebtToIncomeRatio,DefaultStatus
1039,24,Male,23000,Unemployed,510,32000,24,17.0,7,Rented,Single,0,PersonalLoan,2,5,0.80,Yes
1040,56,Female,115000,Salaried,840,380000,300,5.7,0,Owned,Married,1,HomeLoan,0,0,0.16,No
1041,33,Male,46000,Self-Employed,655,92000,60,10.5,3,Rented,Single,1,PersonalLoan,1,2,0.49,Yes
1042,47,Female,85000,Salaried,775,260000,180,6.8,1,Owned,Married,2,HomeLoan,0,0,0.25,No
1043,28,Male,33000,Salaried,605,58000,36,12.8,4,Rented,Single,0,AutoLoan,0,2,0.55,No
1044,39,Female,63000,Salaried,720,165000,120,7.8,2,Owned,Married,3,HomeLoan,0,0,0.36,No
1045,30,Male,38000,Self-Employed,625,72000,48,11.5,3,Rented,Single,1,PersonalLoan,1,2,0.54,Yes
1046,51,Female,95000,Salaried,815,310000,240,6.1,0,Owned,Married,2,HomeLoan,0,0,0.21,No
1047,25,Male,26000,Salaried,565,40000,36,15.5,6,Rented,Single,0,PersonalLoan,2,4,0.74,Yes
1048,44,Female,76000,Salaried,760,230000,180,7.0,1,Owned,Married,1,HomeLoan,0,0,0.27,No
1049,35,Male,53000,Salaried,695,125000,84,8.2,2,Owned,Married,2,AutoLoan,0,0,0.38,No
1050,29,Female,34000,Self-Employed,615,62000,48,12.2,4,Rented,Single,1,PersonalLoan,1,3,0.57,Yes
